Name,Age,Gender,Educational Background,Physical Traits,Personality Traits,Creative Expression,Problem Solving,LeaderShip and Managment,Communication ,Helping Others,Hard Skills,Soft Skills,Preffred Work mode,Comfortable with Technology (1-5),Stress Tolerance (1-5),Open to Relocation (Yes/No),Preferred Work Environment,Certifications (Yes/No),Predicted Career,Predicted Degree,Predicted University,
Ivan,18,Other,Matric,Sedentary,"Analytical, Curious, Creative",Design,Programming,Business  ,Public Relations  ,Education,Programming,Teamwork,Remote,5,5,No,Indoor,Yes,Graphic Designer,BA Graphic Design,QAU Islamabad,
Julia,22,Female,Diploma,Moderately Active,"Practical, Detail-Oriented, Empathetic",Writing,Programming,Organizational Strategy  ,Social Media Management  ,Healthcare,Programming,Problem-Solving,Remote,3,5,No,Indoor,No,Graphic Designer,BA Graphic Design,LUMS,
Julia,21,Other,Matric,Active,"Assertive, Curious, Practical",Design,Engineering,Finance  ,Broadcasting  ,Counseling,Programming,Teamwork,Hybrid,5,2,Yes,Outdoor,No,Photographer,Diploma Photography,GIKI,
Ethan,19,Male,Diploma,Moderately Active,"Organized, Analytical, Curious",Design,Physics,Marketing and Branding  ,Digital Content Creation  ,Education,Graphic Design,Leadership,On-site,3,2,No,Indoor,Yes,Data Scientist,BSc Data Science,QAU Islamabad,
Charlie,20,Other,Diploma,Active,"Patient, Assertive, Analytical",Design,Programming,Business  ,Journalism  ,Social Work,Project Management,Problem-Solving,On-site,2,5,No,Indoor,No,Journalist,BA Journalism,NUST,
Bob,19,Female,Undergraduate,Moderately Active,"Empathetic, Curious, Organized",Design,Mathematics,Team Leadership  ,Public Relations  ,Healthcare,Data Analysis,Problem-Solving,Hybrid,4,1,No,No preference,No,Teacher,BEd,IBA Karachi,
Diana,20,Other,Undergraduate,Sedentary,"Patient, Analytical, Assertive",Photography,Engineering,Organizational Strategy  ,Social Media Management  ,Counseling,Data Analysis,Teamwork,Remote,2,3,Yes,Indoor,No,Psychologist,BSc Psychology,GIKI,
Julia,16,Male,Undergraduate,Moderately Active,"Empathetic, Curious, Analytical",Writing,Physics,Finance  ,Broadcasting  ,Social Work,Project Management,Problem-Solving,On-site,3,1,Yes,Outdoor,Yes,Data Scientist,BSc Data Science,UET Lahore,
Alice,18,Male,Matric,Moderately Active,"Adventurous, Detail-Oriented, Creative",Photography,Programming,Marketing and Branding  ,Digital Content Creation  ,Education,Project Management,Problem-Solving,On-site,1,5,No,Outdoor,No,Mechanical Engineer,BEng Mechanical,UET Lahore,
Hannah,18,Female,Undergraduate,Active,"Empathetic, Assertive, Analytical",Music,Engineering,Business  ,Journalism  ,Healthcare,Graphic Design,Communication,Remote,3,1,No,Outdoor,Yes,Software Engineer,BSc Computer Science,NUST,
Diana,18,Male,Matric,Active,"Curious, Practical, Empathetic",Design,Engineering,Team Leadership  ,Public Relations  ,Social Work,Programming,Leadership,On-site,3,4,No,Indoor,Yes,Journalist,BA Journalism,NUST,
Ethan,16,Other,FSc,Sedentary,"Adventurous, Curious, Practical",Writing,Engineering,Organizational Strategy  ,Social Media Management  ,Counseling,Writing,Teamwork,Remote,1,1,Yes,Indoor,No,Data Scientist,BSc Data Science,FAST-NUCES,
Julia,18,Female,Undergraduate,Moderately Active,"Organized, Detail-Oriented, Patient",Photography,Data Analysis,Finance  ,Broadcasting  ,Social Work,Programming,Communication,Hybrid,5,2,No,Outdoor,No,Nurse,BSc Nursing,University of the Punjab,
Ivan,18,Female,Matric,Moderately Active,"Creative, Organized, Analytical",Design,Mathematics,Marketing and Branding  ,Digital Content Creation  ,Education,Project Management,Teamwork,Hybrid,2,3,Yes,Outdoor,Yes,Social Worker,BA Social Work,University of the Punjab,
Hannah,21,Male,Diploma,Moderately Active,"Organized, Empathetic, Patient",Photography,Mathematics,Business  ,Journalism  ,Social Work,Writing,Problem-Solving,Hybrid,3,2,No,Outdoor,Yes,Graphic Designer,BA Graphic Design,LUMS,
Julia,21,Other,Undergraduate,Active,"Patient, Empathetic, Analytical",Design,Mathematics,Team Leadership  ,Public Relations  ,Social Work,Graphic Design,Problem-Solving,On-site,5,2,No,Indoor,Yes,Mechanical Engineer,BEng Mechanical,NUST,
Julia,17,Male,Diploma,Moderately Active,"Organized, Adventurous, Practical",Writing,Physics,Organizational Strategy  ,Social Media Management  ,Non-profit Work,Data Analysis,Leadership,On-site,2,5,No,No preference,Yes,Software Engineer,BSc Computer Science,Aga Khan University,
Hannah,18,Male,Diploma,Sedentary,"Empathetic, Analytical, Practical",Writing,Programming,Finance  ,Broadcasting  ,Counseling,Project Management,Leadership,Remote,5,3,No,Indoor,Yes,Photographer,Diploma Photography,NUST,
Ivan,17,Male,Matric,Moderately Active,"Adventurous, Organized, Detail-Oriented",Music,Data Analysis,Marketing and Branding  ,Digital Content Creation  ,Non-profit Work,Data Analysis,Adaptability,Remote,5,2,No,Indoor,Yes,Teacher,BEd,IBA Karachi,
Bob,21,Male,Matric,Sedentary,"Organized, Curious, Creative",Photography,Engineering,Business  ,Journalism  ,Education,Programming,Teamwork,Hybrid,2,2,No,Outdoor,Yes,Graphic Designer,BA Graphic Design,COMSATS,
Hannah,18,Female,Diploma,Sedentary,"Adventurous, Organized, Practical",Design,Programming,Team Leadership  ,Public Relations  ,Social Work,Writing,Teamwork,Remote,1,5,Yes,No preference,Yes,Graphic Designer,BA Graphic Design,LUMS,
Fiona,22,Other,Undergraduate,Active,"Assertive, Empathetic, Organized",Music,Engineering,Organizational Strategy  ,Social Media Management  ,Healthcare,Programming,Leadership,Hybrid,5,1,No,Indoor,Yes,Photographer,Diploma Photography,QAU Islamabad,
Fiona,22,Other,Diploma,Sedentary,"Practical, Empathetic, Creative",Photography,Programming,Finance  ,Broadcasting  ,Counseling,Programming,Adaptability,Hybrid,2,4,No,Outdoor,No,Social Worker,BA Social Work,Aga Khan University,
